id,citation_count_without_self_citations,citation_count,number_of_pages,preprint_date,author_count,refereed,document_type,publication_type,number_of_references
418630,7,27,10.0,1996-05-01,3,True,article,research,22
420740,49,61,18.0,1996-07-01,3,True,article,research,39
416766,19,26,11.0,1996-03-01,2,True,article,research,20
416930,2,2,8.0,1996-03-01,3,True,article,research,22
416932,7,8,6.0,1996-03-01,1,True,article,research,21
421578,109,123,29.0,1996-08-01,4,True,article,research,40
421252,4,6,23.0,1996-06-01,2,True,article,research,47
416408,83,87,25.0,1996-03-01,20,True,article,research,39
423269,13,22,14.0,1996-09-01,3,True,article,research,10
423379,4,27,7.0,1996-06-01,1,False,conference paper,research,24
417713,12,18,9.0,1996-04-01,4,True,article,research,7
418332,47,64,9.0,1996-05-01,3,True,article,research,5
418383,57,68,19.0,1996-05-01,3,True,article,research,34
420965,4,5,8.0,1996-07-01,6,True,article,research,10
422781,18,30,11.0,1996-08-01,2,True,article,research,42
422842,43,47,8.0,1996-05-01,4,True,conference paper,research,34
420623,24,29,15.0,1996-05-01,3,True,conference paper,research,29
415144,61,89,10.0,1996-01-01,3,True,article,research,27
415472,0,1,20.0,1996-01-01,1,True,article,research,21
419073,6,18,13.0,1996-05-01,3,True,article,research,35
415178,13,14,7.0,1996-01-01,1,True,article,research,3
419542,20,24,15.0,1996-06-01,3,True,article,research,30
419863,2,7,8.0,1996-06-01,4,True,conference paper,research,29
418629,32,55,40.0,1996-05-01,5,True,article,research,29
418778,10,11,3.0,1996-05-01,2,True,article,research,18
417939,155,174,8.0,1996-04-01,2,True,article,research,21
416048,23,27,27.0,1996-02-01,2,True,article,research,33
422428,3,3,8.0,1996-05-01,2,True,conference paper,research,29
417649,88,96,19.0,1996-04-01,2,True,article,research,86
417225,5,8,11.0,1996-03-01,3,True,article,research,26
417310,1,1,28.0,1996-04-01,3,True,article,research,29
417936,3,6,8.0,1996-04-01,1,True,article,research,22
416552,26,35,27.0,1996-03-01,2,True,article,research,40
416576,28,46,19.0,1996-03-01,4,True,article,research,26
418540,3,11,11.0,1996-05-01,4,True,article,research,22
419365,2,2,6.0,1996-06-06,2,False,conference paper,research,8
415512,24,35,20.0,1996-01-01,2,True,article,research,48
415547,14,17,11.0,1996-01-01,4,True,article,research,19
417600,5,7,24.0,1996-04-01,3,True,article,research,38
417601,20,43,7.0,1996-04-01,4,True,article,research,23
417650,6,6,20.0,1996-04-01,2,True,article,research,31
417795,21,25,17.0,1996-04-01,4,True,article,research,39
